file,line,reference,status
sim/game_state.gd,1451,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1451,RiteExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1466,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1633,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1642,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1702,RitePanelController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1718,RiteExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1743,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1747,CleanRite.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1764,FuncCompare.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1796,HasTagTips.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1936,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1937,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1963,DelayOff.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1970,DelayOff.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1996,EventOn.__c__DisplayClass2_0.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,1997,EventTrigger.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,2015,EventOff.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,2027,EventTrigger.__c__DisplayClass4_0.c,FILE_EXISTS_BODY_UNVERIFIED
sim/game_state.gd,2081,EventTrigger.c,FILE_EXISTS_BODY_UNVERIFIED
sim/global_extensions.gd,11,GlobalExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/global_extensions.gd,60,GlobalExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/global_extensions.gd,81,GlobalExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/global_state.gd,9,Global.c,FILE_EXISTS_BODY_UNVERIFIED
sim/global_state.gd,43,PointShopController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/methinks.gd,4,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/methinks.gd,5,ThinkController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/methinks.gd,6,GameEventSender.c,FILE_EXISTS_BODY_UNVERIFIED
sim/methinks.gd,47,ThinkController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/operation_filter.gd,2,OperationFilter.c,FILE_EXISTS_BODY_UNVERIFIED
sim/operation_filter.gd,52,OperationFilter.c,FILE_EXISTS_BODY_UNVERIFIED
sim/operation_filter.gd,52,SudanPoolModifyTag.c,FILE_EXISTS_BODY_UNVERIFIED
sim/original_save_importer.gd,23,PlayerExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/original_save_schema.gd,88,GenCoin.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,102,GenCoin.c,FILE_EXISTS_BODY_UNVERIFIED
sim/result.gd,114,GenCard.c,FILE_EXISTS_BODY_UNVERIFIED
